Item #,Quantity On Hand,Item,Item Description,,Color,Size,Date of Last Use
CUP1533   ,1,"STAFF POLO, LADIES","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,BLACK,LG,9/5/13
CUP1541   ,2,"STAFF POLO, LADIES","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,WHITE,SM,7/12/13
CUP1543   ,4,"STAFF POLO, LADIES","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,WHITE,LG,7/12/13
CUP1548   ,4,"STAFF POLO, LADIES","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,WHITE,2XL,6/11/15
CUP1296   ,10,"STAFF POLO, MEN'S","LG, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,BLACK,LG,5/19/16
CUP1297   ,7,"STAFF POLO, MEN'S","XL, BLACK, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,BLACK,XL,2/9/15
CUP1305   ,4,"STAFF POLO, MEN'S","LG, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,WHITE,LG,8/16/16
CUP1306   ,2,"STAFF POLO, MEN'S","XL, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,WHITE,XL,8/16/16
CUP1307   ,4,"STAFF POLO, MEN'S","2XL, WHITE, NIKE BODY MAPPING, FEDEXCUP/PGA",Donations,WHITE,2XL,10/22/11
CUP1511   ,1,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,BLACK,SM,10/22/12
CUP1514   ,21,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,BLACK,XL,8/16/16
CUP1515   ,9,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,BLACK,2XL,5/28/14
CUP1524   ,23,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,WHITE,XL,3/28/13
CUP1525   ,2,"STAFF POLO, MEN'S","NIKE DRI FIT, FEDEXCUP/PGA TOUR",Donations,WHITE,2XL,5/19/15
CUP1322   ,15,STASH TRAY,GIFT WRAPPED,Donations,BLACK,,1/11/12
CUP1589   ,56,"SUNGLASSES, LADIES","CRYSTAL GRAY FRAME, CAPTIVA, IN HARD SHELL CASE",Donations,CRYSTAL GRAY,,9/17/15
CUP1590   ,52,"SUNGLASSES, LADIES","SHINY DARK GOLD FRAME, CAPTIVA, IN HARD SHELL CASE",Donations,DARK GOLD,,5/17/12
CUP1591   ,56,"SUNGLASSES, LADIES","BLACKBERRY FRAME, CAPTIVA, IN HARD SHELL CASE",Donations,BLACKBERRY,,10/30/15
CUP1592   ,127,"SUNGLASSES, MENS","BLACK FRAME, HUNTER MAHAN, IN HARD SHELL CASE",Donations,BLACK,,10/30/15
CUP1803   ,1,SWEATER,PETER MILLAR: CASHMERE: BLACK,Donations,BLACK,LG,1/31/14
CUP1804   ,2,SWEATER,PETER MILLAR: CASHMERE: BLACK,Donations,BLACK,XL,11/4/13
CUP1805   ,4,SWEATER,PETER MILLAR: CASHMERE: BLACK,Donations,BLACK,2XL,9/4/13
CUP1782   ,4,TERVIS TUMBLER,16 OZ WITH LID: FEDEXCUP,Donations,,16 OZ,4/20/15
CUP1418   ,1,"T-SHIRT, REEBOK PLAY DRY, MEN'S","FEDEX CUP ON SLEEVE, TROPHY IMAGE ON LEFT CHEST",Donations,SILVER GRAY,MD,9/25/14
CUP1402   ,38,"T-SHIRT, THE FIRST TEE","MD, WHITE, FEDEXCUP",Donations,WHITE,MD,12/20/10
CUP1403   ,105,"T-SHIRT, THE FIRST TEE","LG, WHITE, FEDEXCUP",Donations,WHITE,LG,6/9/10
CUP1404   ,44,"T-SHIRT, THE FIRST TEE","XL, WHITE, FEDEXCUP",Donations,WHITE,XL,9/24/08
CUP1583   ,8,"T-SHIRT, YOUTH","FEDEXCUP/AUDUBON INT'L/THE FIRST TEE/FEDEXCUP FORE!EVER, 2010",Donations,WHITE,LG,7/5/13
CUP1551   ,87,TUMBLER,"14 OZ, FEDEXCUP",Donations,PURPLE/SILVER,,5/5/15
CUP1552   ,85,TUMBLER,"14 OZ, FEDEXCUP",Donations,WHITE/SILVER,,8/12/16
CUP2115   ,1,VEST,NIKE GOLF: CHARCOAL: PEBBLE BEACH/FEDEX: 2XL,Donations,CHARCOAL,2XL,10/24/13
CUP1469   ,13,"WATCH, LADIES","CALLAWAY STAINLESS, FEDEXCUP ON BACK",Donations,WHITE,,10/11/12
CUP1587   ,55,WHIP TRAINER,ORANGE,Donations,ORANGE,,7/9/13
CUP1699   ,30,WHIP TRAINER,"GOLDEN MODEL, ORANGE",Donations,ORANGE,,7/22/10
CUP1382   ,3,"WINDSHIRT, MEN'S","XL, BLACK, SUN MOUNTAIN, FEDEXCUP/PGA TOUR",Donations,BLACK,XL,5/19/16
CUP1383   ,20,"WINDSHIRT, MEN'S","2XL, BLACK, SUN MOUNTAIN, FEDEXCUP/PGA TOUR",Donations,BLACK,2XL,3/22/13
CUP1921   ,8,WINE CHARMS,BOXED SET OF 4; BOX AND ITEMS LOGO'D WITH FEDEX,Donations,,SET OF 4,9/27/13
CUP1776   ,6,WINE STOPPER,ZIPPO: SILVER,Donations,SILVER,,9/25/14
CUP1795   ,8,WRAP,PETER MILLAR: CASHMERE: BLACK,Donations,BLACK,,11/18/14
CUP1973   ,223,CAP,WHITE/BLACK;  NIKE GOLF STAY COOL;  FESJC ON FRONT,FESJC,WHITE/BLACK,,6/3/16
CUP2594   ,200,CAP,"NIKE, GREY/WHITE, FESJC LOGO IN WHITE",FESJC,GREY/WHITE,,8/24/16
CUP2595   ,204,CAP,"BLUE SEERSUCKER, FESJC LOGO IN FULL COLOR",FESJC,,,8/24/16
CUP1742   ,28,CUP,BLACK: FESJC TWO COLOR LOGO,FESJC,,,6/25/15
CUP2031   ,110,CUP,WHITE: 16 OZ.: FESJC LOGO,FESJC,WHITE,,6/25/15
CUP2281   ,500,CUP,16 OZ CLEAR W/ FESJC IN PURPLE,FESJC,,16 OZ,6/28/16
CUP2553   ,"2,209",HAND FAN,"2 SIDED, HUSH Y'ALL, & COURSE MAP",FESJC,,,8/5/16
CUP2290   ,12,NAPKINS,"DINNER, FESJCM PACK OF 125",FESJC,,,6/28/16
CUP2041   ,2,POLO,SPORT TEK: OASIS GREEN: FESJC LOGO: SM,FESJC,OASIS GREEN,SM,7/5/13
CUP2044   ,2,POLO,SPORT TEK: OASIS GREEN: FESJC LOGO: XL,FESJC,OASIS GREEN,XL,2/8/16
CUP2045   ,3,POLO,SPORT TEK: OASIS GREEN: FESJC LOGO: 2X,FESJC,OASIS GREEN,2X,7/5/13
CUP2051   ,6,POLO,LADIES' SPORT TEK: OASIS GREEN: FESJC LOGO: SM,FESJC,OASIS GREEN,SM,6/11/15
